Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
5/02/2010,98499.12,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE
12/02/2010,79636.32,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE
19/02/2010,72377.79,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE
26/02/2010,55590.73,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE
5/03/2010,65525.74,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE
12/03/2010,45046.81,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE
19/03/2010,41069.55,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE
26/03/2010,40796.33,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE
2/04/2010,50079.67,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE
9/04/2010,43346.92,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE
16/04/2010,38711.22,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE
23/04/2010,42222.53,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE
30/04/2010,38131.53,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE
7/05/2010,39104.1,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE
14/05/2010,35355.34,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE
21/05/2010,30922.75,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE
28/05/2010,31378.88,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE
4/06/2010,38638.6,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE
11/06/2010,41297.84,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE
18/06/2010,43244.02,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,FALSE
25/06/2010,42363.96,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,FALSE
